Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;
A240 (6-40 мм);240;-209000;209000;0;0;200000000;-0.001045;0;-0.0035;0;0;0.001045;0;0.025;2;1;0;209
A400 (6-40 мм);400;-348000;348000;0;0;200000000;-0.00174;0;-0.0035;0;0;0.00174;0;0.025;2;1;0;348
A500 (6-40 мм);500;-435000;435000;0;0;200000000;-0.002175;0;-0.0035;0;0;0.002175;0;0.025;2;1;0;435
A600 (6-40 мм);600;-522000;522000;0;0;200000000;-0.00461;-0.002349;-0.0035;0;0;0.00461;0.002349;0.015;3;1;0;522
A800 (10-40 мм);800;-696000;696000;0;0;200000000;-0.00548;-0.003132;-0.0035;0;0;0.00548;0.003132;0.015;3;1;0;696
A1000 (10-40 мм);1000;-870000;870000;0;0;200000000;-0.00635;-0.003915;-0.0035;0;0;0.00635;0.003915;0.015;3;1;0;870
B500 (3-16 мм);500;-435000;435000;0;0;200000000;-0.002175;0;-0.0035;0;0;0.002175;0;0.025;2;1;0;435
Вр500 (3-5 мм);500;-435000;435000;0;0;200000000;-0.004175;-0.0019575;-0.0035;0;0;0.004175;0.0019575;0.015;3;1;0;435
Вр1200 (8 мм);1200;-1043000;1043000;0;0;200000000;-0.007215;-0.0046935;-0.0035;0;0;0.007215;0.0046935;0.015;3;1;0;1043
Вр1300 (7 мм);1300;-1130000;1130000;0;0;200000000;-0.00765;-0.005085;-0.0035;0;0;0.00765;0.005085;0.015;3;1;0;1130
Вр1400 (4,5,6 мм);1400;-1217000;1217000;0;0;200000000;-0.008085;-0.0054765;-0.0035;0;0;0.008085;0.0054765;0.015;3;1;0;1217
Вр1500 (3 мм);1500;-1304000;1304000;0;0;200000000;-0.00852;-0.005868;-0.0035;0;0;0.00852;0.005868;0.015;3;1;0;1304
Вр1600 (3-5 мм);1600;-1391000;1391000;0;0;200000000;-0.008955;-0.0062595;-0.0035;0;0;0.008955;0.0062595;0.015;3;1;0;1391
К1400 (15 мм);1400;-1217000;1217000;0;0;195000000;-0.008241026;-0.005616923;-0.0035;0;0;0.008241026;0.005616923;0.015;3;1;0;1217
К1500 (6-18 мм);1500;-1304000;1304000;0;0;195000000;-0.008687179;-0.006018462;-0.0035;0;0;0.008687179;0.006018462;0.015;3;1;0;1304
К1600 (6-16 мм);1600;-1391000;1391000;0;0;195000000;-0.009133333;-0.00642;-0.0035;0;0;0.009133333;0.00642;0.015;3;1;0;1391
К1700 (6-9 мм);1700;-1478000;1478000;0;0;195000000;-0.009579487;-0.006821538;-0.0035;0;0;0.009579487;0.006821538;0.015;3;1;0;1478
К1800 (6,9 мм);1800;-1565000;1565000;0;0;195000000;-0.010025641;-0.007223077;-0.0035;0;0;0.010025641;0.007223077;0.015;3;1;0;1565
К1900 (6,9 мм);1900;-1652000;1652000;0;0;195000000;-0.010471795;-0.007624615;-0.0035;0;0;0.010471795;0.007624615;0.015;3;1;0;1652
