Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;
A240 (6-40 мм);240;-210000;210000;0;0;200000000;-0.00105;0;-0.0035;0;0;0.00105;0;0.025;2;2;0;210
A400 (6-40 мм);400;-340000;340000;0;0;200000000;-0.0017;0;-0.0035;0;0;0.0017;0;0.025;2;2;0;340
A500 (6-40 мм);500;-435000;435000;0;0;200000000;-0.002175;0;-0.0035;0;0;0.002175;0;0.025;2;2;0;435
A600 (6-40 мм);600;-470000;520000;0;0;200000000;-0.0046;-0.00234;-0.0035;0;0;0.0046;0.00234;0.015;3;2;0;520
A800 (10-32 мм);800;-500000;695000;0;0;200000000;-0.005475;-0.0031275;-0.0035;0;0;0.005475;0.0031275;0.015;3;2;0;695
A1000 (10-32 мм);1000;-500000;870000;0;0;200000000;-0.00635;-0.003915;-0.0035;0;0;0.00635;0.003915;0.015;3;2;0;870
B500 (3-16 мм);500;-415000;415000;0;0;200000000;-0.002075;0;-0.0035;0;0;0.002075;0;0.025;2;2;0;415
Вр500 (3-5 мм);500;-390000;415000;0;0;200000000;-0.00195;0;-0.0035;0;0;0.002075;0;0.025;2;2;0;415
Вр1200 (8 мм);1200;-500000;1000000;0;0;200000000;-0.007;-0.0045;-0.0035;0;0;0.007;0.0045;0.015;3;2;0;1000
Вр1300 (7 мм);1300;-500000;1100000;0;0;200000000;-0.0075;-0.00495;-0.0035;0;0;0.0075;0.00495;0.015;3;2;0;1100
Вр1400 (4,5,6 мм);1400;-500000;1170000;0;0;200000000;-0.00785;-0.005265;-0.0035;0;0;0.00785;0.005265;0.015;3;2;0;1170
Вр1500 (3 мм);1500;-500000;1250000;0;0;200000000;-0.00825;-0.005625;-0.0035;0;0;0.00825;0.005625;0.015;3;2;0;1250
Вр1600 (3-5 мм);1600;-500000;1340000;0;0;200000000;-0.0087;-0.00603;-0.0035;0;0;0.0087;0.00603;0.015;3;2;0;1340
К1400 (15,2 мм);1400;-500000;1170000;0;0;195000000;-0.008;-0.0054;-0.0035;0;0;0.008;0.0054;0.015;3;2;0;1170
К1450 (15,2 мм);1450;-500000;1200000;0;0;195000000;-0.00815384615385;-0.00553846153846;-0.0035;0;0;0.00815384615385;0.00553846153846;0.015;3;2;0;1200
К1500 (6,2-12,4 мм);1500;-500000;1250000;0;0;195000000;-0.00841025641026;-0.00576923076923;-0.0035;0;0;0.00841025641026;0.00576923076923;0.015;3;2;0;1250
К1550 (6,9-18,0 мм);1550;-500000;1350000;0;0;195000000;-0.00892307692308;-0.00623076923077;-0.0035;0;0;0.00892307692308;0.00623076923077;0.015;3;2;0;1350
К1650 (6,9-15,7 мм);1650;-500000;1435000;0;0;195000000;-0.00935897435897;-0.00662307692308;-0.0035;0;0;0.00935897435897;0.00662307692308;0.015;3;2;0;1435
К1750 (9,0/9,3 мм);1750;-500000;1515000;0;0;195000000;-0.00976923076923;-0.00699230769231;-0.0035;0;0;0.00976923076923;0.00699230769231;0.015;3;2;0;1515
К1850 (6,9 мм);1850;-500000;1600000;0;0;195000000;-0.0102051282051;-0.00738461538462;-0.0035;0;0;0.0102051282051;0.00738461538462;0.015;3;2;0;1600
К1900 (6,9 мм);1900;-500000;1670000;0;0;195000000;-0.0105641025641;-0.00770769230769;-0.0035;0;0;0.0105641025641;0.00770769230769;0.015;3;2;0;1670
