Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;
A240 (6-40 мм);240;-240000;240000;0;0;200000000;-0.0012;0;-0.0035;0;0;0.0012;0;0.025;2;4;0;
A400 (6-40 мм);400;-390000;390000;0;0;200000000;-0.00195;0;-0.0035;0;0;0.00195;0;0.025;2;4;0;
A500 (6-40 мм);500;-500000;500000;0;0;200000000;-0.0025;0;-0.0035;0;0;0.0025;0;0.025;2;4;0;
A600 (6-40 мм);600;-600000;600000;0;660000;200000000;-0.005;-0.0027;-0.0035;0;0;0.005;0.0027;0.015;3;4;0;
A800 (10-32 мм);800;-800000;800000;0;880000;200000000;-0.006;-0.0036;-0.0035;0;0;0.006;0.0036;0.015;3;4;0;
A1000 (10-32 мм);1000;-1000000;1000000;0;1100000;200000000;-0.007;-0.0045;-0.0035;0;0;0.007;0.0045;0.015;3;4;0;
B500 (3-16 мм);500;-500000;500000;0;0;200000000;-0.0025;0;-0.0035;0;0;0.0025;0;0.025;2;4;0;
Вр500 (3-5 мм);500;-500000;500000;0;0;200000000;-0.0025;0;-0.0035;0;0;0.0025;0;0.025;2;4;0;
Вр1200 (8 мм);1200;-1200000;1200000;0;1320000;200000000;-0.008;-0.0054;-0.0035;0;0;0.008;0.0054;0.015;3;4;0;
Вр1300 (7 мм);1300;-1300000;1300000;0;1430000;200000000;-0.0085;-0.00585;-0.0035;0;0;0.0085;0.00585;0.015;3;4;0;
Вр1400 (4,5,6 мм);1400;-1400000;1400000;0;1540000;200000000;-0.009;-0.0063;-0.0035;0;0;0.009;0.0063;0.015;3;4;0;
Вр1500 (3 мм);1500;-1500000;1500000;0;1650000;200000000;-0.0095;-0.00675;-0.0035;0;0;0.0095;0.00675;0.015;3;4;0;
Вр1600 (3-5 мм);1600;-1600000;1600000;0;1760000;200000000;-0.01;-0.0072;-0.0035;0;0;0.01;0.0072;0.015;3;4;0;
К1400 (15,2 мм);1400;-1400000;1400000;0;1540000;195000000;-0.00917948717949;-0.00646153846154;-0.0035;0;0;0.00917948717949;0.00646153846154;0.015;3;4;0;
К1450 (15,2 мм);1450;-1450000;1450000;0;1595000;195000000;-0.0094358974359;-0.00669230769231;-0.0035;0;0;0.0094358974359;0.00669230769231;0.015;3;4;0;
К1500 (6,2-12,4 мм);1500;-1500000;1500000;0;1650000;195000000;-0.00969230769231;-0.00692307692308;-0.0035;0;0;0.00969230769231;0.00692307692308;0.015;3;4;0;
К1550 (6,9-18,0 мм);1550;-1550000;1550000;0;1705000;195000000;-0.00994871794872;-0.00715384615385;-0.0035;0;0;0.00994871794872;0.00715384615385;0.015;3;4;0;
К1650 (6,9-15,7 мм);1650;-1650000;1650000;0;1815000;195000000;-0.0104615384615;-0.00761538461538;-0.0035;0;0;0.0104615384615;0.00761538461538;0.015;3;4;0;
К1750 (9,0/9,3 мм);1750;-1740000;1740000;0;1914000;195000000;-0.0109230769231;-0.00803076923077;-0.0035;0;0;0.0109230769231;0.00803076923077;0.015;3;4;0;
К1850 (6,9 мм);1850;-1840000;1840000;0;2024000;195000000;-0.0114358974359;-0.00849230769231;-0.0035;0;0;0.0114358974359;0.00849230769231;0.015;3;4;0;
К1900 (6,9 мм);1900;-1920000;1920000;0;2112000;195000000;-0.0118461538462;-0.00886153846154;-0.0035;0;0;0.0118461538462;0.00886153846154;0.015;3;4;0;
