Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-6000;560;0;0;19000000;-0.002;-0.000189474;-0.0035;-0.0015;0.00008;0.0001;1.77E-05;0.00015;1;1;0
B15;15;-8500;750;0;0;24000000;-0.002;-0.0002125;-0.0035;-0.0015;0.00008;0.0001;0.00001875;0.00015;1;1;0
B20;20;-11500;900;0;0;27500000;-0.002;-0.000250909;-0.0035;-0.0015;0.00008;0.0001;1.96E-05;0.00015;1;1;0
B25;25;-14500;1050;0;0;30000000;-0.002;-0.00029;-0.0035;-0.0015;0.00008;0.0001;0.000021;0.00015;1;1;0
B30;30;-17000;1150;0;0;32500000;-0.002;-0.000313846;-0.0035;-0.0015;0.00008;0.0001;2.12E-05;0.00015;1;1;0
B35;35;-19500;1300;0;0;34500000;-0.002;-0.00033913;-0.0035;-0.0015;0.00008;0.0001;2.26E-05;0.00015;1;1;0
B40;40;-22000;1400;0;0;36000000;-0.002;-0.000366667;-0.0035;-0.0015;0.00008;0.0001;2.33E-05;0.00015;1;1;0
B45;45;-25000;1500;0;0;37000000;-0.002;-0.000405405;-0.0035;-0.0015;0.00008;0.0001;2.43E-05;0.00015;1;1;0
B50;50;-27500;1600;0;0;38000000;-0.002;-0.000434211;-0.0035;-0.0015;0.00008;0.0001;2.53E-05;0.00015;1;1;0
B55;55;-30000;1700;0;0;39000000;-0.002;-0.000461538;-0.0035;-0.0015;0.00008;0.0001;2.62E-05;0.00015;1;1;0
B60;60;-33000;1800;0;0;39500000;-0.002;-0.000501266;-0.0035;-0.0015;0.00008;0.0001;2.73E-05;0.00015;1;1;0
B70;70;-37000;1900;0;0;41000000;-0.002;-0.000541463;-0.0033;-0.0015;0.00008;0.0001;2.78E-05;0.00015;1;1;0
B80;80;-41000;2100;0;0;42000000;-0.002;-0.000585714;-0.003133333;-0.0015;0.00008;0.0001;0.00003;0.00015;1;1;0
B90;90;-44000;2150;0;0;42500000;-0.002;-0.000621176;-0.002966667;-0.0015;0.00008;0.0001;3.04E-05;0.00015;1;1;0
B100;100;-47500;2200;0;0;43000000;-0.002;-0.000662791;-0.0028;-0.0015;0.00008;0.0001;3.07E-05;0.00015;1;1;0
