Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;19000000;-0.002;-0.000236842;-0.0035;-0.0015;0.00008;0.0001;2.68E-05;0.00015;1;3;0
B15;15;-11000;1100;0;0;24000000;-0.002;-0.000275;-0.0035;-0.0015;0.00008;0.0001;0.0000275;0.00015;1;3;0
B20;20;-15000;1350;0;0;27500000;-0.002;-0.000327273;-0.0035;-0.0015;0.00008;0.0001;2.95E-05;0.00015;1;3;0
B25;25;-18500;1550;0;0;30000000;-0.002;-0.00037;-0.0035;-0.0015;0.00008;0.0001;0.000031;0.00015;1;3;0
B30;30;-22000;1750;0;0;32500000;-0.002;-0.000406154;-0.0035;-0.0015;0.00008;0.0001;3.23E-05;0.00015;1;3;0
B35;35;-25500;1950;0;0;34500000;-0.002;-0.000443478;-0.0035;-0.0015;0.00008;0.0001;3.39E-05;0.00015;1;3;0
B40;40;-29000;2100;0;0;36000000;-0.002;-0.000483333;-0.0035;-0.0015;0.00008;0.0001;0.000035;0.00015;1;3;0
B45;45;-32000;2250;0;0;37000000;-0.002;-0.000518919;-0.0035;-0.0015;0.00008;0.0001;3.65E-05;0.00015;1;3;0
B50;50;-36000;2450;0;0;38000000;-0.002;-0.000568421;-0.0035;-0.0015;0.00008;0.0001;3.87E-05;0.00015;1;3;0
B55;55;-39500;2600;0;0;39000000;-0.002;-0.000607692;-0.0035;-0.0015;0.00008;0.0001;0.00004;0.00015;1;3;0
B60;60;-43000;2750;0;0;39500000;-0.002;-0.000653165;-0.0035;-0.0015;0.00008;0.0001;4.18E-05;0.00015;1;3;0
B70;70;-50000;3000;0;0;41000000;-0.002;-0.000731707;-0.0033;-0.0015;0.00008;0.0001;4.39E-05;0.00015;1;3;0
B80;80;-57000;3300;0;0;42000000;-0.002;-0.000814286;-0.003133333;-0.0015;0.00008;0.0001;4.71E-05;0.00015;1;3;0
B90;90;-64000;3600;0;0;42500000;-0.002;-0.000903529;-0.002966667;-0.0015;0.00008;0.0001;5.08E-05;0.00015;1;3;0
B100;100;-71000;3800;0;0;43000000;-0.002;-0.000990698;-0.0028;-0.0015;0.00008;0.0001;5.30E-05;0.00015;1;3;0
