Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;8333333.333;-0.003;-0.0009;-0.0042;-0.0024;0.00019;0.00021;0.000102;0.00027;1;4;1
B15;15;-11000;1100;0;0;11764705.88;-0.003;-0.000935;-0.0042;-0.0024;0.00019;0.00021;0.0000935;0.00027;1;4;1
B20;20;-15000;1350;0;0;15277777.78;-0.003;-0.000981818;-0.0042;-0.0024;0.00019;0.00021;8.84E-05;0.00027;1;4;1
B25;25;-18500;1550;0;0;17857142.86;-0.003;-0.001036;-0.0042;-0.0024;0.00019;0.00021;0.0000868;0.00027;1;4;1
B30;30;-22000;1750;0;0;20833333.33;-0.003;-0.001056;-0.0042;-0.0024;0.00019;0.00021;0.000084;0.00027;1;4;1
B35;35;-25500;1950;0;0;23000000;-0.003;-0.001108696;-0.0042;-0.0024;0.00019;0.00021;8.48E-05;0.00027;1;4;1
B40;40;-29000;2100;0;0;25000000;-0.003;-0.00116;-0.0042;-0.0024;0.00019;0.00021;0.000084;0.00027;1;4;1
B45;45;-32000;2250;0;0;26811594.2;-0.003;-0.001193514;-0.0042;-0.0024;0.00019;0.00021;8.39E-05;0.00027;1;4;1
B50;50;-36000;2450;0;0;28787878.79;-0.003;-0.001250526;-0.0042;-0.0024;0.00019;0.00021;8.51E-05;0.00027;1;4;1
B55;55;-39500;2600;0;0;30952380.95;-0.003;-0.001276154;-0.0042;-0.0024;0.00019;0.00021;0.000084;0.00027;1;4;1
B60;60;-43000;2750;0;0;32916666.67;-0.003;-0.001306329;-0.0042;-0.0024;0.00019;0.00021;8.35E-05;0.00027;1;4;1
B70;70;-50000;3000;0;0;34166666.67;-0.003;-0.001463415;-0.0033;-0.0024;0.00019;0.00021;8.78E-05;0.00027;1;4;1
B80;80;-57000;3300;0;0;35000000;-0.003;-0.001628571;-0.003133333;-0.0024;0.00019;0.00021;9.43E-05;0.00027;1;4;1
B90;90;-64000;3600;0;0;35416666.67;-0.003;-0.001807059;-0.002966667;-0.0024;0.00019;0.00021;0.000101647;0.00027;1;4;1
B100;100;-71000;3800;0;0;35833333.33;-0.003;-0.001981395;-0.0028;-0.0024;0.00019;0.00021;0.000106047;0.00027;1;4;1
