Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;ProkatType;NormName
С235 (2-8 мм);235;-235000;235000;235000;360000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С245 (2-20 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С245 (20-30 мм);235;-235000;235000;235000;370000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С255 (2-20 мм);240;-240000;240000;240000;360000;206000000;0.001165;0.000699;-0.025000;0.001165;0.000000;0.001165;0.000699;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С255 (20-40 мм);235;-235000;235000;235000;370000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С285 (2-10 мм);275;-275000;275000;275000;390000;206000000;0.001335;0.000801;-0.025000;0.001335;0.000000;0.001335;0.000801;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С285 (10-20 мм);265;-265000;265000;265000;380000;206000000;0.001286;0.000772;-0.025000;0.001286;0.000000;0.001286;0.000772;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (2-20 мм);325;-325000;325000;325000;470000;206000000;0.001578;0.000947;-0.025000;0.001578;0.000000;0.001578;0.000947;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (20-40 мм);305;-305000;305000;305000;460000;206000000;0.001481;0.000888;-0.025000;0.001481;0.000000;0.001481;0.000888;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (40-80 мм);285;-285000;285000;285000;450000;206000000;0.001383;0.000830;-0.025000;0.001383;0.000000;0.001383;0.000830;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (80-100 мм);265;-265000;265000;265000;430000;206000000;0.001286;0.000772;-0.025000;0.001286;0.000000;0.001286;0.000772;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345К (4-10 мм);345;-345000;345000;345000;470000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С375 (2-20 мм);355;-355000;355000;355000;490000;206000000;0.001723;0.001034;-0.025000;0.001723;0.000000;0.001723;0.001034;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С375 (20-40 мм);335;-335000;335000;335000;480000;206000000;0.001626;0.000976;-0.025000;0.001626;0.000000;0.001626;0.000976;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С390 (4-50 мм);390;-390000;390000;390000;540000;206000000;0.001893;0.001136;-0.025000;0.001893;0.000000;0.001893;0.001136;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С440 (4-30 мм);440;-440000;440000;440000;590000;206000000;0.002136;0.001282;-0.025000;0.002136;0.000000;0.002136;0.001282;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С440 (30-50 мм);410;-410000;410000;410000;570000;206000000;0.001990;0.001194;-0.025000;0.001990;0.000000;0.001990;0.001194;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С590 (10-40 мм);590;-590000;590000;590000;685000;206000000;0.002864;0.001718;-0.025000;0.002864;0.000000;0.002864;0.001718;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С590К (10-40 мм);590;-590000;590000;590000;685000;206000000;0.002864;0.001718;-0.025000;0.002864;0.000000;0.002864;0.001718;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
20 (4-36 мм);245;-245000;245000;245000;410000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3кп (1-10 мм);225;-225000;225000;225000;370000;206000000;0.001092;0.000655;-0.025000;0.001092;0.000000;0.001092;0.000655;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3пс (1-10 мм);225;-225000;225000;225000;370000;206000000;0.001092;0.000655;-0.025000;0.001092;0.000000;0.001092;0.000655;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3пс4 (4-15 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3сп (1-10 мм);225;-225000;225000;225000;370000;206000000;0.001092;0.000655;-0.025000;0.001092;0.000000;0.001092;0.000655;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3сп4 (4-15 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Труба;СП 16.13330.2011
