Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B15;15;-8500;750;0;0;16500000;-0.002;-0.000309091;-0.0035;-0.0015;0.00008;0.0001;2.73E-05;0.00015;1;1;0
B20;20;-11500;900;0;0;18000000;-0.002;-0.000383333;-0.0035;-0.0015;0.00008;0.0001;0.00003;0.00015;1;1;0
B25;25;-14500;1050;0;0;19500000;-0.002;-0.000446154;-0.0035;-0.0015;0.00008;0.0001;3.23E-05;0.00015;1;1;0
B30;30;-17000;1150;0;0;21000000;-0.002;-0.000485714;-0.0035;-0.0015;0.00008;0.0001;3.29E-05;0.00015;1;1;0
B35;35;-19500;1300;0;0;22000000;-0.002;-0.000531818;-0.0035;-0.0015;0.00008;0.0001;3.55E-05;0.00015;1;1;0
B40;40;-22000;1400;0;0;23000000;-0.002;-0.000573913;-0.0035;-0.0015;0.00008;0.0001;3.65E-05;0.00015;1;1;0
B45;45;-25000;1500;0;0;23500000;-0.002;-0.000638298;-0.0035;-0.0015;0.00008;0.0001;3.83E-05;0.00015;1;1;0
B50;50;-27500;1600;0;0;24000000;-0.002;-0.0006875;-0.0035;-0.0015;0.00008;0.0001;0.00004;0.00015;1;1;0
B55;55;-30000;1700;0;0;24500000;-0.002;-0.000734694;-0.0035;-0.0015;0.00008;0.0001;4.16E-05;0.00015;1;1;0
B60;60;-33000;1800;0;0;25000000;-0.002;-0.000792;-0.0035;-0.0015;0.00008;0.0001;0.0000432;0.00015;1;1;0
