Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B15;15;-11000;1100;0;0;2844827.586;-0.003;-0.00232;-0.0042;-0.0024;0.00019;0.00021;0.000232;0.00027;1;4;1
B20;20;-15000;1350;0;0;3600000;-0.003;-0.0025;-0.0042;-0.0024;0.00019;0.00021;0.000225;0.00027;1;4;1
B25;25;-18500;1550;0;0;4239130.435;-0.003;-0.002618462;-0.0042;-0.0024;0.00019;0.00021;0.000219385;0.00027;1;4;1
B30;30;-22000;1750;0;0;5000000;-0.003;-0.00264;-0.0042;-0.0024;0.00019;0.00021;0.00021;0.00027;1;4;1
B35;35;-25500;1950;0;0;5500000;-0.003;-0.002781818;-0.0042;-0.0024;0.00019;0.00021;0.000212727;0.00027;1;4;1
B40;40;-29000;2100;0;0;6052631.579;-0.003;-0.002874783;-0.0042;-0.0024;0.00019;0.00021;0.000208174;0.00027;1;4;1
B45;45;-32000;2250;0;0;6527777.778;-0.003;-0.002941277;-0.0042;-0.0024;0.00019;0.00021;0.000206809;0.00027;1;4;1
B50;50;-36000;2450;0;0;7058823.529;-0.003;-0.00306;-0.0042;-0.0024;0.00019;0.00021;0.00020825;0.00027;1;4;1
B55;55;-39500;2600;0;0;7656250;-0.003;-0.00309551;-0.0042;-0.0024;0.00019;0.00021;0.000203755;0.00027;1;4;1
B60;60;-43000;2750;0;0;8333333.333;-0.003;-0.003096;-0.0042;-0.0024;0.00019;0.00021;0.000198;0.00027;1;4;1
