Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
A240 (6-40 мм);240;-240000;240000;0;0;200000000;-0.0012;0;-0.0035;0;0;0.0012;0;0.025;2;4;0
A400 (6-40 мм);400;-400000;400000;0;0;200000000;-0.002;0;-0.0035;0;0;0.002;0;0.025;2;4;0
A500 (6-40 мм);500;-500000;500000;0;0;200000000;-0.0025;0;-0.0035;0;0;0.0025;0;0.025;2;4;0
A600 (6-40 мм);600;-600000;600000;0;660000;200000000;-0.005;-0.0027;-0.0035;0;0;0.005;0.0027;0.015;3;4;0
A800 (10-40 мм);800;-800000;800000;0;880000;200000000;-0.006;-0.0036;-0.0035;0;0;0.006;0.0036;0.015;3;4;0
A1000 (10-40 мм);1000;-1000000;1000000;0;1100000;200000000;-0.007;-0.0045;-0.0035;0;0;0.007;0.0045;0.015;3;4;0
B500 (3-16 мм);500;-500000;500000;0;0;200000000;-0.0025;0;-0.0035;0;0;0.0025;0;0.025;2;4;0
Вр500 (3-5 мм);500;-500000;500000;0;550000;200000000;-0.0045;-0.00225;-0.0035;0;0;0.0045;0.00225;0.015;3;4;0
Вр1200 (8 мм);1200;-1200000;1200000;0;1320000;200000000;-0.008;-0.0054;-0.0035;0;0;0.008;0.0054;0.015;3;4;0
Вр1300 (7 мм);1300;-1300000;1300000;0;1430000;200000000;-0.0085;-0.00585;-0.0035;0;0;0.0085;0.00585;0.015;3;4;0
Вр1400 (4,5,6 мм);1400;-1400000;1400000;0;1540000;200000000;-0.009;-0.0063;-0.0035;0;0;0.009;0.0063;0.015;3;4;0
Вр1500 (3 мм);1500;-1500000;1500000;0;1650000;200000000;-0.0095;-0.00675;-0.0035;0;0;0.0095;0.00675;0.015;3;4;0
Вр1600 (3-5 мм);1600;-1600000;1600000;0;1760000;200000000;-0.01;-0.0072;-0.0035;0;0;0.01;0.0072;0.015;3;4;0
К1400 (15 мм);1400;-1400000;1400000;0;1540000;195000000;-0.009179487;-0.006461538;-0.0035;0;0;0.009179487;0.006461538;0.015;3;4;0
К1500 (6-18 мм);1500;-1500000;1500000;0;1650000;195000000;-0.009692308;-0.006923077;-0.0035;0;0;0.009692308;0.006923077;0.015;3;4;0
К1600 (6-16 мм);1600;-1600000;1600000;0;1760000;195000000;-0.010205128;-0.007384615;-0.0035;0;0;0.010205128;0.007384615;0.015;3;4;0
К1700 (6-9 мм);1700;-1700000;1700000;0;1870000;195000000;-0.010717949;-0.007846154;-0.0035;0;0;0.010717949;0.007846154;0.015;3;4;0
К1800 (6,9 мм);1800;-1800000;1800000;0;1980000;195000000;-0.011230769;-0.008307692;-0.0035;0;0;0.011230769;0.008307692;0.015;3;4;0
К1900 (6,9 мм);1900;-1900000;1900000;0;2090000;195000000;-0.01174359;-0.008769231;-0.0035;0;0;0.01174359;0.008769231;0.015;3;4;0
