Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B15;15;-11000;1100;0;0;16500000;-0.002;-0.0004;-0.0035;-0.0015;0.00008;0.0001;0.00004;0.00015;1;3;0
B20;20;-15000;1350;0;0;18000000;-0.002;-0.0005;-0.0035;-0.0015;0.00008;0.0001;0.000045;0.00015;1;3;0
B25;25;-18500;1550;0;0;19500000;-0.002;-0.000569231;-0.0035;-0.0015;0.00008;0.0001;4.76923E-05;0.00015;1;3;0
B30;30;-22000;1750;0;0;21000000;-0.002;-0.000628571;-0.0035;-0.0015;0.00008;0.0001;0.00005;0.00015;1;3;0
B35;35;-25500;1950;0;0;22000000;-0.002;-0.000695455;-0.0035;-0.0015;0.00008;0.0001;5.31818E-05;0.00015;1;3;0
B40;40;-29000;2100;0;0;23000000;-0.002;-0.000756522;-0.0035;-0.0015;0.00008;0.0001;5.47826E-05;0.00015;1;3;0
B45;45;-32000;2250;0;0;23500000;-0.002;-0.000817021;-0.0035;-0.0015;0.00008;0.0001;5.74468E-05;0.00015;1;3;0
B50;50;-36000;2450;0;0;24000000;-0.002;-0.0009;-0.0035;-0.0015;0.00008;0.0001;0.00006125;0.00015;1;3;0
B55;55;-39500;2600;0;0;24500000;-0.002;-0.000967347;-0.0035;-0.0015;0.00008;0.0001;6.36735E-05;0.00015;1;3;0
B60;60;-43000;2750;0;0;25000000;-0.002;-0.001032;-0.0035;-0.0015;0.00008;0.0001;0.000066;0.00015;1;3;0
